,corpus
0,wow love place
1,crust good
2,tasti textur nasti
3,stop late may bank holiday rick steve recommend love
4,select menu great price
5,get angri want damn pho
6,honeslti tast fresh
7,potato like rubber could tell made ahead time kept warmer
8,fri great
9,great touch
10,servic prompt
11,would go back
12,cashier care ever say still end wayyy overpr
13,tri cape cod ravoli chicken cranberri mmmm
14,disgust pretti sure human hair
15,shock sign indic cash
16,highli recommend
17,waitress littl slow servic
18,place worth time let alon vega
19,like
20,burritto blah
21,food amaz
22,servic also cute
23,could care less interior beauti
24,perform
25,right red velvet cake ohhh stuff good
26,never brought salad ask
27,hole wall great mexican street taco friendli staff
28,took hour get food tabl restaur food luke warm sever run around like total overwhelm
29,worst salmon sashimi
30,also combo like burger fri beer decent deal
31,like final blow
32,found place accid could happier
33,seem like good quick place grab bite familiar pub food favor look elsewher
34,overal like place lot
35,redeem qualiti restaur inexpens
36,ampl portion good price
37,poor servic waiter made feel like stupid everi time came tabl
38,first visit hiro delight
39,servic suck
40,shrimp tender moist
41,deal good enough would drag establish
42,hard judg whether side good gross melt styrofoam want eat fear get sick
43,posit note server attent provid great servic
44,frozen puck disgust worst peopl behind regist
45,thing like prime rib dessert section
46,bad food damn gener
47,burger good beef cook right
48,want sandwich go firehous
49,side greek salad greek dress tasti pita hummu refresh
50,order duck rare pink tender insid nice char outsid
51,came run us realiz husband left sunglass tabl
52,chow mein good
53,horribl attitud toward custom talk one custom enjoy food
54,portion huge
55,love friendli server great food wonder imagin menu
56,heart attack grill downtown vega absolut flat line excus restaur
57,much seafood like string pasta bottom
58,salad right amount sauc power scallop perfectli cook
59,rip banana rip petrifi tasteless
60,least think refil water struggl wave minut
61,place receiv star appet
62,cocktail handmad delici
63,definit go back
64,glad found place
65,great food servic huge portion give militari discount
66,alway great time do gringo
67,updat went back second time still amaz
68,got food appar never heard salt batter fish chewi
69,great way finish great
70,deal includ tast drink jeff went beyond expect
71,realli realli good rice time
72,servic meh
73,took min get milkshak noth chocol milk
74,guess known place would suck insid excalibur use common sens
75,scallop dish quit appal valu well
76,time bad custom servic
77,sweet potato fri good season well
78,today second time lunch buffet pretti good
79,much good food vega feel cheat wast eat opportun go rice compani
80,come like experienc underwhelm relationship parti wait person ask break
81,walk place smell like old greas trap other eat
82,turkey roast beef bland
83,place
84,pan cake everyon rave tast like sugari disast tailor palat six year old
85,love pho spring roll oh yummi tri
86,poor batter meat ratio made chicken tender unsatisfi
87,say food amaz
88,omelet die
89,everyth fresh delici
90,summari larg disappoint dine experi
91,like realli sexi parti mouth outrag flirt hottest person parti
92,never hard rock casino never ever step forward
93,best breakfast buffet
94,say bye bye tip ladi
95,never go
